[22:04:51] [trace   ] iKAN: Initializing...
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.014638424
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.018732548
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015521526
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015578747
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.020309925
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.015293598
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.014391422
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.018577099
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01721096
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01486969
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.01765728
[22:04:58] [info    ] iKAN: 1.4, -6.967591, 0.02141571
